# NWS public forecast zone / county correlation, filtered to the states in the
# event-baseline corpus. Verbatim pipe-delimited rows from bp05mr24.dbx, order preserved.
# STATE|ZONE|CWA|NAME|STATE_ZONE|COUNTY|FIPS|TIME_ZONE|FE_AREA|LAT|LON
MN|039|ABR|Traverse|MN039|Traverse|27155|C|wc|45.7721|-96.4716
MN|046|ABR|Big Stone|MN046|Big Stone|27011|C|wc|45.4261|-96.411
VT|013|ALY|Bennington|VT013|Bennington|50003|E|ss|43.0355|-73.0929
VT|014|ALY|Western Windham|VT014|Windham|50025|E|ss|43.0015|-72.7867
VT|015|ALY|Eastern Windham|VT015|Windham|50025|E|ss|42.9675|-72.5583
MI|016|APX|Emmet|MI016|Emmet|26047|E|nn|45.5205|-84.8905
MI|017|APX|Cheboygan|MI017|Cheboygan|26031|E|nn|45.4468|-84.4999
MI|018|APX|Presque Isle|MI018|Presque Isle|26141|E|nn|45.3396|-83.9159
MI|020|APX|Leelanau|MI020|Leelanau|26089|E|nn|44.9367|-85.8123
MI|021|APX|Antrim|MI021|Antrim|26009|E|nn|45.0003|-85.1377
MI|022|APX|Otsego|MI022|Otsego|26137|E|nn|45.0214|-84.5988
MI|023|APX|Montmorency|MI023|Montmorency|26119|E|nn|45.0275|-84.1273
MI|024|APX|Alpena|MI024|Alpena|26007|E|nn|45.0347|-83.6285
MI|025|APX|Benzie|MI025|Benzie|26019|E|nn|44.6395|-86.0158
MI|026|APX|Grand Traverse|MI026|Grand Traverse|26055|E|nn|44.6709|-85.559
MI|027|APX|Kalkaska|MI027|Kalkaska|26079|E|nn|44.6846|-85.0902
MI|028|APX|Crawford|MI028|Crawford|26039|E|nn|44.6836|-84.6103
MI|029|APX|Oscoda|MI029|Oscoda|26135|E|nn|44.6817|-84.1297
MI|030|APX|Alcona|MI030|Alcona|26001|E|nn|44.6854|-83.5938
MI|031|APX|Manistee|MI031|Manistee|26101|E|nn|44.3332|-86.0571
MI|032|APX|Wexford|MI032|Wexford|26165|E|nn|44.3384|-85.5785
MI|033|APX|Missaukee|MI033|Missaukee|26113|E|nn|44.3373|-85.0947
