event_id,parent_system_id,primary_hazard,secondary_hazards,source_event_ids,compound,event_disposition,record_id,county_fips,boundary_vintage,scenario_id,window_start_utc,window_end_utc,record_disposition,mode,weather_coverage,weather_evidence_kind,weather_observation_kind,weather_expected_samples,weather_observed_samples,weather_missing_timestamps,weather_event_report,outage_coverage,outage_evidence_kind,outage_observation_kind,outage_expected_samples,outage_observed_samples,outage_missing_timestamps,outage_event_report,matched_coverage_decision,label_rule_version,label_status,observed_outage_customers,customer_denominator_status,customer_denominator,outage_rate,positive,provenance_receipt_ids,source_evidence_status,source_row_keys,source_slices,uncertainties,exclusions
ca-2019-10-09-pge-psps,ca-2019-10-offshore-wind,planned_psps,[],"[""pge-2019-10-09-12-amended-post-event-report""]",false,candidate_only,ca-2019-10-09-pge-psps-napa-06055-20191009t0600z,06055,US Census TIGER/Line 2023 county FIPS reference; geometry not used,ca_2019_10_pge_psps,2019-10-09T06:00:00Z,2019-10-09T12:00:00Z,candidate_only,replay,uncovered,authoritative_event_report,observed,,,[],"{""limitations"":""The report documents planned PSPS conditions and regional/offshore-wind rationale, but no complete county six-hour weather series."",""scope_identifier"":""Napa County, California (FIPS 06055), named among first-phase counties"",""source_event_ids"":[""pge-2019-10-09-12-amended-post-event-report""],""source_window"":{""end_utc"":""2019-10-13T00:41:00Z"",""start_utc"":""2019-10-09T07:09:00Z""},""spatial_scope"":""county""}",covered,time_series_or_grid,observed,24,24,[],null,unavailable,county_outage_5pct_v1,unavailable,,unavailable,,,,"[""cpuc-pge-2019-10-09-12-amended-pdf"",""eaglei-psps-2019-napa""]",available,"[""eaglei-psps-2019-napa:06055|2019-10-09 06:00:00"",""eaglei-psps-2019-napa:06055|2019-10-09 06:15:00"",""eaglei-psps-2019-napa:06055|2019-10-09 06:30:00"",""eaglei-psps-2019-napa:06055|2019-10-09 06:45:00"",""eaglei-psps-2019-napa:06055|2019-10-09 07:00:00"",""eaglei-psps-2019-napa:06055|2019-10-09 07:15:00"",""eaglei-psps-2019-napa:06055|2019-10-09 07:30:00"",""eaglei-psps-2019-napa:06055|2019-10-09 07:45:00"",""eaglei-psps-2019-napa:06055|2019-10-09 08:00:00"",""eaglei-psps-2019-napa:06055|2019-10-09 08:15:00"",""eaglei-psps-2019-napa:06055|2019-10-09 08:30:00"",""eaglei-psps-2019-napa:06055|2019-10-09 08:45:00"",""eaglei-psps-2019-napa:06055|2019-10-09 09:00:00"",""eaglei-psps-2019-napa:06055|2019-10-09 09:15:00"",""eaglei-psps-2019-napa:06055|2019-10-09 09:30:00"",""eaglei-psps-2019-napa:06055|2019-10-09 09:45:00"",""eaglei-psps-2019-napa:06055|2019-10-09 10:00:00"",""eaglei-psps-2019-napa:06055|2019-10-09 10:15:00"",""eaglei-psps-2019-napa:06055|2019-10-09 10:30:00"",""eaglei-psps-2019-napa:06055|2019-10-09 10:45:00"",""eaglei-psps-2019-napa:06055|2019-10-09 11:00:00"",""eaglei-psps-2019-napa:06055|2019-10-09 11:15:00"",""eaglei-psps-2019-napa:06055|2019-10-09 11:30:00"",""eaglei-psps-2019-napa:06055|2019-10-09 11:45:00""]","[{""county_fips"":""06055"",""end_utc"":""2019-10-09T12:00:00Z"",""receipt_id"":""eaglei-psps-2019-napa"",""start_utc"":""2019-10-09T06:00:00Z""}]","[""The 00:09 PDT start is the report's first circuit system-wide, not a Napa-specific circuit activation time."",""The report's PG&E/CPUC account is not independent verification of wildfire causation or a county outage label."",""Reported wind-related damage/hazards are retained separately from this planned-PSPS candidate and are not represented as fire occurrence or verified wildfire damage.""]","[""No complete county six-hour weather series has been collected.""]"
ca-2019-kincade,ca-2019-kincade,wildfire,"[""psps""]","[""CALFIRE:/incidents/2019/10/23/kincade-fire/""]",true,shortfall,ca-2019-kincade-06097-20191024t0000,06097,2020 Census,ca-2019-kincade-replay,2019-10-24T00:00:00Z,2019-10-24T06:00:00Z,shortfall,replay,covered,authoritative_event_report,observed,,,[],"{""limitations"":""Incident evidence only; it does not establish a weather series or grid damage."",""scope_identifier"":""Sonoma County"",""source_event_ids"":[""CALFIRE:/incidents/2019/10/23/kincade-fire/""],""source_window"":{""end_utc"":""2019-11-07T03:00:00Z"",""start_utc"":""2019-10-23T04:27:00Z""},""spatial_scope"":""county""}",UncoveredLabel,time_series_or_grid,observed,24,23,"[""2019-10-24T04:45:00Z""]",null,unavailable,county_outage_5pct_v1,UncoveredLabel,,unavailable,,,,"[""calfire-kincade"",""eaglei-kincade""]",available,"[""eaglei-kincade:06097|2019-10-24 00:00:00"",""eaglei-kincade:06097|2019-10-24 00:15:00"",""eaglei-kincade:06097|2019-10-24 00:30:00"",""eaglei-kincade:06097|2019-10-24 00:45:00"",""eaglei-kincade:06097|2019-10-24 01:00:00"",""eaglei-kincade:06097|2019-10-24 01:15:00"",""eaglei-kincade:06097|2019-10-24 01:30:00"",""eaglei-kincade:06097|2019-10-24 01:45:00"",""eaglei-kincade:06097|2019-10-24 02:00:00"",""eaglei-kincade:06097|2019-10-24 02:15:00"",""eaglei-kincade:06097|2019-10-24 02:30:00"",""eaglei-kincade:06097|2019-10-24 02:45:00"",""eaglei-kincade:06097|2019-10-24 03:00:00"",""eaglei-kincade:06097|2019-10-24 03:15:00"",""eaglei-kincade:06097|2019-10-24 03:30:00"",""eaglei-kincade:06097|2019-10-24 03:45:00"",""eaglei-kincade:06097|2019-10-24 04:00:00"",""eaglei-kincade:06097|2019-10-24 04:15:00"",""eaglei-kincade:06097|2019-10-24 04:30:00"",""eaglei-kincade:06097|2019-10-24 05:00:00"",""eaglei-kincade:06097|2019-10-24 05:15:00"",""eaglei-kincade:06097|2019-10-24 05:30:00"",""eaglei-kincade:06097|2019-10-24 05:45:00""]","[{""county_fips"":""06097"",""end_utc"":""2019-10-24T06:00:00Z"",""receipt_id"":""eaglei-kincade"",""start_utc"":""2019-10-24T00:00:00Z""}]","[""No direct utility damage report was collected."",""Full annual EAGLE-I scan has 23 valid observations of 24; one native customers_out value is blank."",""No customer denominator is present in this EAGLE-I annual slice.""]",[]
ca-2020-czu,ca-2020-czu,wildfire,[],"[""CALFIRE:/incidents/2020/8/16/czu-lightning-complex/""]",false,candidate_only,ca-2020-czu-06087-20200819t0000,06087,2020 Census,ca-2020-czu-replay,2020-08-19T00:00:00Z,2020-08-19T06:00:00Z,candidate_only,replay,uncovered,not_assessed,not_applicable,,,[],null,covered,time_series_or_grid,observed,24,24,[],null,unavailable,county_outage_5pct_v1,unavailable,,unavailable,,,,"[""calfire-czu"",""eaglei-czu""]",unavailable,[],[],"[""CAL FIRE page identifies a non-CAL FIRE incident; no verified infrastructure-damage claim."",""Customer denominator unavailable.""]",[]
ca-2020-glass,ca-2020-glass,wildfire,[],"[""CALFIRE:/incidents/2020/9/27/glass-fire/""]",false,shortfall,ca-2020-glass-06055-20200928t0000,06055,2020 Census,ca-2020-glass-replay,2020-09-28T00:00:00Z,2020-09-28T06:00:00Z,shortfall,replay,uncovered,not_assessed,not_applicable,,,[],null,UncoveredLabel,time_series_or_grid,observed,24,21,"[""2020-09-28T02:00:00Z"",""2020-09-28T02:45:00Z"",""2020-09-28T03:45:00Z""]",null,unavailable,county_outage_5pct_v1,UncoveredLabel,,unavailable,,,,"[""calfire-glass"",""eaglei-glass""]",unavailable,[],[],"[""No county-scoped authoritative weather overlap has been collected."",""No verified infrastructure-damage assertion.""]",[]
ca-2021-08-17-pge-psps,ca-2021-08-northern-california-fire-weather,planned_psps,[],"[""pge-2021-08-17-19-post-event-report""]",false,candidate_only,ca-2021-08-17-pge-psps-shasta-06089-20210818t0000z,06089,US Census TIGER/Line 2023 county FIPS reference; geometry not used,ca_2021_08_pge_psps,2021-08-18T00:00:00Z,2021-08-18T06:00:00Z,candidate_only,replay,uncovered,authoritative_event_report,observed,,,[],"{""limitations"":""The report's 48 mph Shasta station maximum is not a complete county six-hour series and does not establish full-county weather coverage."",""scope_identifier"":""Shasta County, California (FIPS 06089); Appendix B circuit list and Table 20 county weather station"",""source_event_ids"":[""pge-2021-08-17-19-post-event-report""],""source_window"":{""end_utc"":""2021-08-20T07:00:00Z"",""start_utc"":""2021-08-18T00:00:00Z""},""spatial_scope"":""county""}",covered,time_series_or_grid,observed,24,24,[],null,unavailable,county_outage_5pct_v1,unavailable,,unavailable,,,,"[""cpuc-pge-2021-08-17-19-pdf"",""eaglei-psps-2021-shasta""]",unavailable,[],[],"[""The report-wide 17:00 PDT start is not a Shasta-specific activation; Appendix B lists individual Shasta circuit starts later that evening."",""The reported maximum gust is a county-scope station summary, not a complete six-hour county weather series."",""The utility report is not independent verification of wildfire causation, fire occurrence, or a county outage label.""]","[""No complete county six-hour weather series has been collected.""]"
ca-2021-dixie,ca-2021-dixie,wildfire,[],"[""CALFIRE:/incidents/2021/7/13/dixie-fire/""]",false,shortfall,ca-2021-dixie-06063-20210714t0000,06063,2020 Census,ca-2021-dixie-replay,2021-07-14T00:00:00Z,2021-07-14T06:00:00Z,shortfall,replay,UncoveredLabel,time_series_or_grid,observed,24,15,"[""2021-07-14T02:00:00Z"",""2021-07-14T02:15:00Z"",""2021-07-14T02:30:00Z"",""2021-07-14T02:45:00Z"",""2021-07-14T03:00:00Z"",""2021-07-14T03:15:00Z"",""2021-07-14T03:30:00Z"",""2021-07-14T03:45:00Z"",""2021-07-14T04:00:00Z""]",null,UncoveredLabel,time_series_or_grid,observed,24,15,"[""2021-07-14T02:00:00Z"",""2021-07-14T02:15:00Z"",""2021-07-14T02:30:00Z"",""2021-07-14T02:45:00Z"",""2021-07-14T03:00:00Z"",""2021-07-14T03:15:00Z"",""2021-07-14T03:30:00Z"",""2021-07-14T03:45:00Z"",""2021-07-14T04:00:00Z""]",null,unavailable,county_outage_5pct_v1,UncoveredLabel,,unavailable,,,,"[""calfire-dixie"",""eaglei-dixie""]",unavailable,[],[],"[""Complete annual EAGLE-I scan has 15 of 24 expected observations."",""No causal or damage claim.""]",[]
ca-2022-mosquito,ca-2022-mosquito,wildfire,[],"[""CALFIRE:/incidents/2022/9/6/mosquito-fire/""]",false,candidate_only,ca-2022-mosquito-06061-20220908t0000,06061,2020 Census,ca-2022-mosquito-replay,2022-09-08T00:00:00Z,2022-09-08T06:00:00Z,candidate_only,replay,covered,time_series_or_grid,observed,24,24,[],null,covered,time_series_or_grid,observed,24,24,[],null,unavailable,county_outage_5pct_v1,unavailable,,unavailable,,,,"[""eaglei-mosquito""]",unavailable,[],[],"[""No eligible county-weather evidence collected."",""No utility-damage or causal assertion.""]",[]
ca-2023-09-20-pge-psps,ca-2023-09-northern-sacramento-valley-wind,planned_psps,[],"[""pge-2023-09-20-21-post-event-report""]",false,shortfall,ca-2023-09-20-pge-psps-tehama-06103-20230921t0600z,06103,US Census TIGER/Line 2023 county FIPS reference; geometry not used,ca_2023_09_pge_psps,2023-09-21T06:00:00Z,2023-09-21T12:00:00Z,shortfall,replay,uncovered,authoritative_event_report,observed,,,[],"{""limitations"":""The report's 36 mph Tehama station maximum is not a complete county six-hour weather series and report circuit scope is not a county-wide weather observation."",""scope_identifier"":""Tehama County, California (FIPS 06103); CORNING circuits in Appendix B and Table 20 county weather station"",""source_event_ids"":[""pge-2023-09-20-21-post-event-report""],""source_window"":{""end_utc"":""2023-09-22T00:05:00Z"",""start_utc"":""2023-09-21T06:19:00Z""},""spatial_scope"":""county""}",UncoveredLabel,time_series_or_grid,observed,24,22,"[""2023-09-21T06:00:00Z"",""2023-09-21T06:15:00Z""]",null,unavailable,county_outage_5pct_v1,UncoveredLabel,,unavailable,,,,"[""cpuc-pge-2023-09-20-21-pdf"",""eaglei-psps-2023-tehama""]",available,"[""eaglei-psps-2023-tehama:06103|2023-09-21 06:30:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 06:45:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 07:00:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 07:15:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 07:30:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 07:45:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 08:00:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 08:15:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 08:30:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 08:45:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 09:00:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 09:15:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 09:30:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 09:45:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 10:00:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 10:15:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 10:30:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 10:45:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 11:00:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 11:15:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 11:30:00"",""eaglei-psps-2023-tehama:06103|2023-09-21 11:45:00""]","[{""county_fips"":""06103"",""end_utc"":""2023-09-21T12:00:00Z"",""receipt_id"":""eaglei-psps-2023-tehama"",""start_utc"":""2023-09-21T06:00:00Z""}]","[""The canonical interval contains Tehama CORNING circuit activation, but a circuit footprint is not a whole-county outage observation."",""The reported 36 mph Tehama maximum gust is a county-scope station summary, not a complete six-hour county weather series."",""The utility report is not independent verification of wildfire causation, fire occurrence, or a county outage label.""]","[""Full annual EAGLE-I scan has 22 of 24 expected timestamps; this is an UncoveredLabel shortfall.""]"
caiso-2022-09-heat,heat_western_us_202209,extreme_heat,[],"[""caiso-2022-09-heat"",""ncei-stormevents:1057556""]",false,accepted,caiso-2022-09-heat-06067-20220907t0000,06067,2020 Census county FIPS,caiso-2022-09-heat-replay,2022-09-07T00:00:00Z,2022-09-07T06:00:00Z,accepted,replay,covered,authoritative_event_report,observed,,,[],"{""limitations"":""The NCEI report is scoped to an NWS zone rather than Sacramento County; a zone-to-county intersection artifact is not retained."",""scope_identifier"":""CAZ016 Central Sacramento Valley"",""source_event_ids"":[""ncei-stormevents:1057556""],""source_window"":{""end_utc"":""2022-09-10T03:00:00Z"",""start_utc"":""2022-09-04T18:00:00Z""},""spatial_scope"":""zone""}",covered,time_series_or_grid,observed,24,24,[],null,matched,county_outage_5pct_v1,UncoveredLabel,,unavailable,,,,"[""eia-caiso-202209"",""ncei-stormevents-2022-details"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000""]",available,"[""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T00:00:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T00:15:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T00:30:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T00:45:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T01:00:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T01:15:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T01:30:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T01:45:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T02:00:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T02:15:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T02:30:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T02:45:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T03:00:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T03:15:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T03:30:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T03:45:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T04:00:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T04:15:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T04:30:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T04:45:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T05:00:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T05:15:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T05:30:00Z"",""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000:06067:2022-09-07T05:45:00Z""]","[{""county_fips"":""06067"",""end_utc"":""2022-09-07T06:00:00Z"",""receipt_id"":""eaglei-2022-42547897-caiso-2022-09-heat-06067-20220907000000"",""start_utc"":""2022-09-07T00:00:00Z""}]","[""Customer denominator unavailable"",""No causal attribution between heat, demand, and county outage values""]","[""Avoidance actions are not observed controlled shedding"",""BA load is context only""]"
calendar-control-mn-2021-autumn-01,calendar-control-mn-2021-autumn-01,ordinary_weather,[],[],false,candidate_only,ctrl-calendar-bae26bf8727fad99,27053,pending-catalog-contract,control-mn-2021-autumn-01,2021-10-07T00:00:00Z,2021-10-07T06:00:00Z,candidate_only,replay,uncovered,not_assessed,not_applicable,,,[],null,UncoveredLabel,time_series_or_grid,observed,24,5,"[""2021-10-07T00:00:00Z"",""2021-10-07T00:45:00Z"",""2021-10-07T01:00:00Z"",""2021-10-07T01:15:00Z"",""2021-10-07T01:30:00Z"",""2021-10-07T01:45:00Z"",""2021-10-07T02:00:00Z"",""2021-10-07T02:15:00Z"",""2021-10-07T02:30:00Z"",""2021-10-07T03:30:00Z"",""2021-10-07T03:45:00Z"",""2021-10-07T04:00:00Z"",""2021-10-07T04:15:00Z"",""2021-10-07T04:30:00Z"",""2021-10-07T04:45:00Z"",""2021-10-07T05:00:00Z"",""2021-10-07T05:15:00Z"",""2021-10-07T05:30:00Z"",""2021-10-07T05:45:00Z""]",null,unavailable,county_outage_5pct_v1,UncoveredLabel,,unavailable,,,,"[""ncei-stormevents-index"",""nws-mpx-events-archive"",""eaglei-2021-42547891-calendar-control-mn-2021-autumn-01-27053-20211007t000000""]",unavailable,[],[],"[""Frame-limited Hennepin calendar candidate; not representative across regions."",""EAGLE-I outage coverage has a collection shortfall and is UncoveredLabel; this candidate is not accepted.""]",[]
