UTC Time at End of Hour,Demand (MW),Demand (MW) (Adjusted),Net Generation (MW),Total Interchange (MW)
2024-01-01 06:00:00+00:00,65974.0,65974.0,63332.0,-4062.0
2024-01-01 07:00:00+00:00,64702.0,64702.0,61900.0,-3993.0
2024-01-01 08:00:00+00:00,63853.0,63853.0,61414.0,-3523.0
2024-01-01 09:00:00+00:00,63016.0,63016.0,59891.0,-4307.0
2024-01-01 10:00:00+00:00,62934.0,62934.0,60069.0,-3973.0
2024-01-01 11:00:00+00:00,63652.0,63652.0,60543.0,-4279.0
2024-01-01 12:00:00+00:00,64811.0,64811.0,62375.0,-3597.0
2024-01-01 13:00:00+00:00,66254.0,66254.0,63142.0,-4340.0
2024-01-01 14:00:00+00:00,67365.0,67365.0,64347.0,-4134.0
2024-01-01 15:00:00+00:00,68413.0,68413.0,65256.0,-4446.0
2024-01-01 16:00:00+00:00,69875.0,69875.0,66752.0,-4352.0
2024-01-01 17:00:00+00:00,70769.0,70769.0,68112.0,-3908.0
2024-01-01 18:00:00+00:00,70807.0,70807.0,68679.0,-3489.0
2024-01-01 19:00:00+00:00,70250.0,70250.0,68169.0,-3370.0
2024-01-01 20:00:00+00:00,69532.0,69532.0,67652.0,-3299.0
2024-01-01 21:00:00+00:00,69022.0,69022.0,67167.0,-3281.0
2024-01-01 22:00:00+00:00,69640.0,69640.0,68264.0,-2887.0
2024-01-01 23:00:00+00:00,71773.0,71773.0,71035.0,-2464.0
2024-01-02 00:00:00+00:00,74638.0,74638.0,74181.0,-2496.0
2024-01-02 01:00:00+00:00,75044.0,75044.0,75119.0,-2139.0
2024-01-02 02:00:00+00:00,74508.0,74508.0,74986.0,-1722.0
2024-01-02 03:00:00+00:00,73741.0,73741.0,74095.0,-1839.0
2024-01-02 04:00:00+00:00,71942.0,71942.0,72825.0,-1253.0
2024-01-02 05:00:00+00:00,69799.0,69799.0,71281.0,-585.0
2024-01-02 06:00:00+00:00,67775.0,67775.0,69988.0,377.0
2024-01-02 07:00:00+00:00,66799.0,66799.0,69741.0,1044.0
2024-01-02 08:00:00+00:00,66395.0,66395.0,69658.0,1514.0
2024-01-02 09:00:00+00:00,66684.0,66684.0,69751.0,1421.0
2024-01-02 10:00:00+00:00,67561.0,67561.0,70119.0,851.0
2024-01-02 11:00:00+00:00,69703.0,69703.0,71668.0,162.0
2024-01-02 12:00:00+00:00,73557.0,73557.0,75574.0,153.0
2024-01-02 13:00:00+00:00,78517.0,78517.0,79822.0,-705.0
2024-01-02 14:00:00+00:00,81670.0,81670.0,82599.0,-1073.0
2024-01-02 15:00:00+00:00,82209.0,82209.0,81582.0,-2604.0
2024-01-02 16:00:00+00:00,81721.0,81721.0,80860.0,-2683.0
2024-01-02 17:00:00+00:00,80675.0,80675.0,79884.0,-2650.0
2024-01-02 18:00:00+00:00,79389.0,79389.0,78268.0,-3048.0
2024-01-02 19:00:00+00:00,78068.0,78068.0,77403.0,-2474.0
2024-01-02 20:00:00+00:00,76884.0,76884.0,76451.0,-2345.0
2024-01-02 21:00:00+00:00,76130.0,76130.0,75617.0,-2192.0
2024-01-02 22:00:00+00:00,76060.0,76060.0,76503.0,-1236.0
2024-01-02 23:00:00+00:00,77846.0,77846.0,78179.0,-1561.0
2024-01-03 00:00:00+00:00,80826.0,80826.0,79780.0,-3035.0
2024-01-03 01:00:00+00:00,81570.0,81570.0,80452.0,-2970.0
2024-01-03 02:00:00+00:00,80840.0,80840.0,79994.0,-2730.0
2024-01-03 03:00:00+00:00,79335.0,79335.0,79488.0,-1633.0
2024-01-03 04:00:00+00:00,77186.0,77186.0,77790.0,-1092.0
2024-01-03 05:00:00+00:00,74476.0,74476.0,75342.0,-781.0
2024-01-03 06:00:00+00:00,72474.0,72474.0,73610.0,-388.0
2024-01-03 07:00:00+00:00,71056.0,71056.0,72914.0,348.0
2024-01-03 08:00:00+00:00,69996.0,69996.0,72221.0,776.0
2024-01-03 09:00:00+00:00,69533.0,69533.0,71879.0,959.0
2024-01-03 10:00:00+00:00,69628.0,69628.0,71893.0,918.0
2024-01-03 11:00:00+00:00,71481.0,71481.0,73552.0,630.0
2024-01-03 12:00:00+00:00,74372.0,74372.0,76502.0,684.0
2024-01-03 13:00:00+00:00,78813.0,78813.0,81204.0,717.0
2024-01-03 14:00:00+00:00,81660.0,81660.0,83199.0,-186.0
2024-01-03 15:00:00+00:00,81893.0,81893.0,82232.0,-1371.0
2024-01-03 16:00:00+00:00,81367.0,81367.0,81375.0,-1599.0
2024-01-03 17:00:00+00:00,80366.0,80366.0,80258.0,-1710.0
2024-01-03 18:00:00+00:00,79339.0,79339.0,79677.0,-1318.0
2024-01-03 19:00:00+00:00,78593.0,78593.0,79248.0,-1056.0
2024-01-03 20:00:00+00:00,77750.0,77750.0,78800.0,-886.0
2024-01-03 21:00:00+00:00,76905.0,76905.0,78388.0,-478.0
2024-01-03 22:00:00+00:00,76763.0,76763.0,77666.0,-1018.0
2024-01-03 23:00:00+00:00,78737.0,78737.0,79304.0,-1191.0
2024-01-04 00:00:00+00:00,81082.0,81082.0,81483.0,-1393.0
