county_fips,plant_count,summer_capacity_mw
27003,2,9.4
27005,1,9.6
27007,2,43.57
27009,17,28.9
27013,21,727.0
27015,3,90.8
27017,6,167.9
27019,19,145.7
27021,3,18.7
27023,17,63.8
27025,44,191.1
27027,12,74.3
27031,2,6.1
27033,8,298.3
27035,2,8.7
27037,35,847.5000000000001
27039,20,75.89999999999999
27041,5,16.2
27043,6,60.2
27045,7,65.5
27047,6,407.3
27049,31,1520.6900000000003
27051,1,20
27053,11,536.6000000000001
27059,7,201.90000000000003
27061,4,963.9
27063,10,503.59999999999997
27065,2,14.7
27067,14,33.3
27071,2,54.2
27075,2,109.1
27079,17,55.6
27081,26,1040.0
27083,15,116.8
27085,21,167.29000000000002
27091,8,652.7
27093,8,66.9
27095,1,12.8
27097,3,32.10000000000001
27099,8,1087.7
27101,17,349.5
27103,9,13
27105,11,509.6
27107,1,3.8
27109,17,207.8
27111,4,53.199999999999996
27113,1,5.8
27115,2,24.4
27117,29,381.59999999999997
27119,2,14.0
27121,19,24
27123,5,582.9
27125,1,5.6
27127,14,31.299999999999997
27129,26,32.3
27131,27,319.50000000000006
27133,8,328.5
27137,7,235.39999999999998
27139,10,530.8999999999999
27141,33,2020.51
27143,5,7.3
27145,41,188.6
27147,15,131.10000000000002
27149,3,2.0
27151,1,9.0
27157,11,14.19
27161,19,31.29
27163,18,805.5
27165,2,22.6
27167,1,0
27169,16,32.09
27171,27,734.9
27173,5,13
